"GEOIP Switch Store","GEOIP Switch Store"
"General","General"
"Enable","Enable"
"Allow Manual Switch after Redirect","Allow Manual Switch after Redirect"
"Time save Cookie","Time save Cookie"
"IP for Tester","IP for Tester"
"Leave it blank if you want to use IP of Customer","Leave it blank if you want to use IP of Customer"
"Redirect Scope","Redirect Scope"
"Apply Redirect for Country","Apply Redirect for Country"
"Hold Ctrl when choosing multiple options","Hold Ctrl when choosing multiple options"
"Apply Redirect for Country","Apply Redirect for Country"
"Enter one Link per line","Enter one Link per line"
"Enter one IP per line","Enter one IP per line"
"Enter search BOT example: <b>google bot, yahoo, msn bot</b>","Enter search BOT example: <b>google bot, yahoo, msn bot</b>"
"Uprade Database from MaxMind","Uprade Database from MaxMind"
"GeoIP Block","GeoIP Block"
"Countries Blacklist","Countries Blacklist"
"IP Blacklist","IP Blacklist"
"Enter Page key or Url (with http or https)","Enter Page key or Url (with http or https)"
